rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
460,8,10,6.78,13,"Eric Carmen"
461,8,12,6.03,13,"Eddie Rabbitt"
462,8,12,5.59,12,"Duane Eddy His Twangy Guitar And The Rebels"
463,8,12,5.19,12,"Sammy Hagar"
464,8,12,4.53,12,"Shakira"
465,8,11,8.12,12,"Shawn Mendes"
466,8,11,7.05,12,"Halsey"
467,8,10,5.59,11,"The Fleetwoods"
468,8,10,6.04,11,"Gordon Lightfoot"
469,8,11,5.30,11,"Bill Withers"
470,8,11,7.09,11,"Seals & Crofts"
471,8,9,6.97,11,"Juice Newton"
472,8,10,5.74,11,"Night Ranger"
473,8,11,6.42,11,"Starship"
474,8,10,5.55,11,"Pet Shop Boys"
475,8,11,6.14,11,"Gwen Stefani"
476,8,8,6.42,11,"Little Big Town"
477,8,10,4.09,10,"Candi Staton"
478,8,9,4.93,10,"Gino Vannelli"
479,8,9,6.33,10,"Leo Sayer"
480,8,10,6.54,10,"Boston"
481,8,10,5.37,10,"Rick James"
482,8,9,6.54,10,"Blondie"
483,8,10,7.47,10,"Christopher Cross"
484,8,8,4.54,10,"Atlantic Starr"
485,8,10,7.47,10,"M.C. Hammer"
486,8,10,4.97,10,"Clay Walker"
487,8,10,6.20,10,"Phil Vassar"
488,8,9,7.22,10,"3 Doors Down"
489,8,8,5.79,10,"Josh Turner"
490,8,9,4.85,9,"Shalamar"
491,8,9,6.97,9,"Bob Seger & The Silver Bullet Band"
492,8,9,5.88,9,"The Fixx"
493,8,9,5.73,9,"Paul Young"
494,8,9,7.06,9,"Prince And The Revolution"
495,8,9,6.48,9,"2Pac"
496,8,9,5.58,9,"Joe"
497,8,9,6.56,9,"Sarah McLachlan"
498,8,9,7.52,9,"'N Sync"
499,8,9,5.99,9,"Jo Dee Messina"
500,8,8,4.63,9,"Chris Cagle"
501,8,9,6.43,9,"Chappell Roan"
502,8,8,6.40,8,"Supertramp"
503,8,8,6.52,8,"Peter Frampton"
504,8,8,7.58,8,"Andy Gibb"
505,8,8,5.63,8,"Peter Gabriel"
506,8,8,7.52,8,"The Bangles"
507,8,8,6.19,8,"Dino"
508,8,8,7.28,8,"Jon Secada"
509,8,8,6.75,8,"Faith Evans"
510,8,8,4.76,8,"Reba"
511,8,8,7.84,8,"matchbox twenty"
512,8,8,6.64,8,"Rodney Atkins"
513,8,8,5.85,8,"The Band Perry"
514,8,8,5.68,8,"Brett Eldredge"
515,8,8,4.66,8,"Kelsea Ballerini"
516,8,8,6.99,8,"Brett Young"
517,7,35,5.16,85,"YoungBoy Never Broke Again"
518,7,43,6.22,61,"J. Cole"
519,7,31,6.70,46,"Juice WRLD"
520,7,17,6.48,24,"XXXTENTACION"
521,7,16,6.09,21,"Ben E. King"
522,7,16,5.34,20,"DaBaby"
523,7,17,6.44,20,"Megan Thee Stallion"
524,7,15,5.88,19,"Jack Scott"
525,7,17,4.86,18,"Ray Charles and his Orchestra"
526,7,17,5.23,18,"Freddy Cannon"
527,7,12,3.60,18,"Chuck Jackson"
528,7,15,5.92,18,"Lou Rawls"
529,7,14,6.23,17,"Little Anthony And The Imperials"
530,7,13,3.60,17,"Eddy Arnold"
531,7,12,5.12,17,"Ike & Tina Turner"
532,7,14,4.71,16,"Billy Vaughn And His Orchestra"
533,7,14,4.40,16,"The Byrds"
534,7,12,5.02,15,"Clyde McPhatter"
535,7,13,3.77,15,"The Intruders"
